date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:07:13	87622/87622	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-15646%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html	(from )
20:07:13	33/33	---M--	200	added ('OK')	text/plain	etag:%22625d040e-21%22	https://pixinvent.com/robots.txt		(from )
20:07:13	61698/61698	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-f102%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/boxicons.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/boxicons.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:14	99496/99496	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-184a8%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/fontawesome.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/fontawesome.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:14	30531/30531	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-7743%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/flag-icons.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/fonts/flag-icons.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:14	513797/513797	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-7d705%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/core.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/core.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:14	49450/49450	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-c12a%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/theme-bordered.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/css/rtl/theme-bordered.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:14	2587/2587	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-a1b%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/css/demo.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/css/demo.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:15	5453/5453	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-154d%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/perfect-scrollbar/perfect-scrollbar.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:15	1736/1736	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-6c8%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/typeahead-js/typeahead.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/typeahead-js/typeahead.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:15	19288/19288	---MCZ	200	added ('OK')	text/css	etag:W/%226256b72a-4b58%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/apex-charts/apex-charts.css	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/libs/apex-charts/apex-charts.css	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:15	20562/20562	---MCZ	200	added ('OK')	application/javascript	etag:W/%226256b72a-5052%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/js/helpers.js	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/js/helpers.js	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:15	40699/40699	---MCZ	200	added ('OK')	application/javascript	etag:W/%226256b72a-9efb%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/js/template-customizer.js	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/vendor/js/template-customizer.js	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:16	954/954	---MCZ	200	added ('OK')	application/javascript	etag:W/%226256b72c-3ba%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/js/config.js	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/assets/js/config.js	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:16	87622/87622	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-15646%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/index.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/index.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:16	87169/87169	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-15481%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-ecommerce.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-ecommerce.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:16	65615/65615	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-1004f%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-collapsed-menu.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-collapsed-menu.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:16	65450/65450	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-ffaa%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-content-navbar.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-content-navbar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:17	65839/65839	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-1012f%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-content-navbar-with-sidebar.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-content-navbar-with-sidebar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:17	30116/30116	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-75a4%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-without-menu.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-without-menu.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:17	42110/42110	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-a47e%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-without-navbar.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-without-navbar.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:17	65434/65434	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-ff9a%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-fluid.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-fluid.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:18	65455/65455	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-ffaf%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-container.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-container.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
20:07:18	4694/4694	---MCZ	200	added ('OK')	text/html	etag:W/%226256b72a-1256%22	https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-blank.html	C:/My%20Web%20Sites/frest/pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/layouts-blank.html	(from https://pixinvent.com/demo/frest-clean-bootstrap-admin-dashboard-template/html/vertical-menu-template-bordered/dashboards-analytics.html)
